year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00,index,averagemwh
2023,7.07797,7.69069,7.24818,6.9027,6.33309,5.95901,6.11206,5.68564,5.06246,4.79921,4.79921,4.41501,4.23183,4.02791,4.02791,3.78393,3.6851,3.6851,3.6851,3.6851,3.6851,3.6851,3.6851,3.6851,4.01855,4.40981,4.45641,4.78572,4.54211,4.54211,4.54211,4.54211,4.54211,4.54211,4.45627,4.19931,4.29815,3.90434,3.58869,3.79211,2.87011,2.80439,2.36891,2.11171,1.8854,1.8854,1.8854,1.57515,1.5426,1.5426,1.5426,1.5426,1.5426,1.86408,2.50469,2.6567,2.76661,2.6567,2.83508,3.32636,3.6851,3.88324,4.29953,4.5641,4.94583,5.26514,5.90553,6.3206,6.52867,6.85601,7.1912,7.5112,7.78157,7.62016,7.54161,7.35869,7.03766,6.85601,6.64949,6.42751,6.63307,6.42751,6.42751,6.39287,6.4184,5.95471,5.74191,5.74191,5.74191,6.45439,6.85601,6.70759,7.14214,6.87788,7.18795,7.15107,0,4.72778350515464
2023,6.85601,7.65703,7.19852,6.63712,6.25961,5.93135,5.98142,5.60103,5.31235,4.92285,4.60264,4.30256,4.11361,4.11361,4.0846,3.7708,3.7708,3.7708,3.7708,3.7708,3.7708,3.86541,4.11361,4.16241,4.64525,5.02571,5.80192,6.11466,5.65282,5.75044,5.91331,5.91331,5.98352,6.25611,6.25611,6.25611,6.49728,6.59891,6.57437,5.88029,5.48481,5.43458,5.14201,5.03232,4.42976,3.59176,4.43767,4.71087,4.37071,4.49751,4.53231,4.37071,4.59686,4.30679,4.16706,4.37071,4.37071,4.29542,4.02791,4.02791,3.73116,3.36503,3.77942,4.28501,4.75499,5.02334,5.56512,6.12676,6.49018,6.85389,7.54041,7.99718,8.05581,8.05581,8.04244,7.62731,7.42793,7.19881,7.16771,6.85601,7.18908,6.79703,7.01175,6.72314,7.01641,6.6895,6.39819,6.08471,6.08471,6.79555,7.19881,6.93798,7.45755,7.13981,7.44353,7.2121,1,5.575084742268038
2023,7.11311,7.69803,7.31843,6.71791,6.26546,5.94201,6.14976,5.57629,4.9526,4.88491,4.47081,4.37846,4.11361,4.07652,3.7708,3.7708,3.7708,3.7708,3.7708,3.7708,3.7708,3.94741,4.23796,4.45641,4.91612,5.41824,5.95748,6.2764,5.76175,6.08471,5.9613,5.66075,5.36123,4.78052,4.49458,4.25063,3.77001,3.45688,3.12457,2.79667,2.68862,2.1425,1.95898,1.95115,1.714,1.714,1.51372,1.3712,1.3712,1.3712,1.3712,1.3712,1.3712,1.53765,1.714,1.86347,2.0568,2.37717,2.67465,2.85832,3.13337,3.56235,3.88552,4.33856,4.51495,4.96271,5.41914,5.8616,6.05449,6.41808,7.04381,7.48049,7.62731,7.62731,7.62731,7.40596,7.28451,6.97918,6.91727,6.63905,7.01575,6.90647,6.68461,6.68461,6.68461,6.45214,6.31328,5.8063,5.85677,6.43904,6.68461,6.68461,7.01724,6.99483,7.1849,7.04235,2,4.773138659793817
2023,6.81135,7.37725,7.02677,6.66657,6.1308,5.84812,5.92069,5.54848,4.92308,4.71351,4.38552,4.28501,3.96594,3.94221,3.94221,3.64368,3.5994,3.5994,3.5994,3.5994,3.76807,3.94221,4.03674,4.30621,4.6925,5.21421,5.8685,6.02855,5.74191,5.74191,5.74191,5.56819,5.2799,4.8552,4.45538,4.19961,3.89311,3.41259,3.2606,2.81478,2.59546,2.3139,2.07483,1.87505,1.6283,1.6283,1.6283,1.6283,1.6283,1.46309,1.6283,1.6283,1.6283,1.91123,1.9711,2.07784,2.3996,2.65597,2.88327,3.09012,3.45325,3.84714,4.35445,4.69352,4.71373,5.05631,5.34162,5.91654,5.89884,6.43889,6.88161,7.19881,7.19881,7.19881,7.19881,7.19881,6.81614,6.64488,6.30637,6.08471,6.58531,6.44686,6.49615,6.16804,6.24625,6.06141,5.89694,5.57051,5.74349,6.35351,6.59891,6.59891,7.01347,6.92645,7.10156,6.94948,3,4.710185876288659
2023,6.75356,7.34494,7.01767,6.43772,6.11327,5.71499,5.82761,5.3617,5.01702,4.6035,4.25373,3.94221,3.94221,3.73622,3.5994,3.5994,3.5994,3.5994,3.5994,3.5994,3.5994,3.83315,3.94221,4.20223,4.49787,4.78504,5.35351,5.46038,5.16998,5.55567,5.83868,5.99901,5.99901,5.99901,6.15432,5.90957,5.85921,5.7121,4.75697,4.62781,4.89777,4.53227,4.43451,4.06182,3.3616,1.74649,1.714,1.78086,2.73486,4.06826,3.98126,2.90597,3.71165,2.27499,3.22626,3.98951,3.02522,3.71651,4.87722,4.68931,4.8445,5.32695,5.57051,5.57051,5.57051,5.57051,5.57051,6.04548,6.11198,6.61422,6.92533,7.22761,7.37021,7.37021,7.37021,7.37021,7.37021,7.18773,7.02741,6.71241,7.01773,6.89263,6.91724,6.73676,6.59891,6.48077,6.25611,5.99547,5.91331,6.57305,6.94171,6.94171,7.35134,7.07047,7.46569,7.06677,4,5.274176391752579
2023,6.94171,7.50457,7.09259,6.54519,6.16284,5.81267,5.9026,5.47991,4.91104,4.62781,4.38092,4.0941,3.8565,3.8565,3.8565,3.8565,3.8565,3.8565,3.8565,3.8565,3.8565,4.13436,4.19931,4.38112,4.84862,5.27335,5.84908,6.32713,5.77631,5.99901,5.96035,5.65621,5.44633,5.0943,4.81471,4.36345,4.07756,3.61702,3.26388,2.85955,2.8281,2.5139,2.1427,1.98477,1.7997,1.67196,1.4569,1.4569,1.35871,1.4569,1.36501,1.5426,1.5426,1.80224,1.8854,2.18882,2.2282,2.46963,2.68064,3.01428,3.36651,3.83475,4.22291,4.58175,5.2119,5.61487,5.9605,6.39921,6.67515,7.10355,7.6325,8.00427,8.22721,8.23625,8.35124,8.22721,8.22721,8.04559,7.88441,7.81403,7.87601,7.67912,7.78935,7.68774,7.87144,7.45277,7.11311,7.11311,7.11311,7.66255,7.97011,7.93807,7.96098,7.772,8.1521,7.81389,5,5.124562268041237
2023,7.60374,7.95254,7.69779,7.17891,6.78332,6.45298,6.5246,6.10357,5.66053,5.11806,4.97061,4.6504,4.62781,4.41062,4.19931,4.19931,4.19931,3.86985,4.19267,4.19931,4.19931,4.19931,4.44103,4.54211,4.63834,5.18758,5.67421,6.25573,5.91443,6.21028,6.25611,6.25611,6.25611,5.9572,5.48481,5.17378,5.02932,4.60841,3.99572,4.22235,3.85234,3.52117,3.35576,2.89085,3.31897,2.9369,2.84305,2.30232,2.13137,2.22516,2.04006,2.18359,2.29027,1.83205,1.89691,2.14724,2.58954,2.47755,2.85995,3.31039,3.71468,4.0283,4.65216,5.22904,5.75553,6.42354,6.63215,6.99544,7.23011,7.77766,8.48589,8.74141,8.74141,8.74141,8.74141,8.59523,8.34752,8.05581,8.05581,8.05581,8.11654,7.94202,7.96249,7.59743,7.78728,7.54022,7.45591,7.09757,7.11282,7.716,8.05581,8.05581,8.38913,8.13511,8.38764,8.12276,6,5.593585463917527
2023,8.02563,8.47979,7.79387,7.2102,6.9687,6.72195,6.90259,6.52662,5.97824,5.64881,5.23454,4.97061,4.8858,4.73582,4.47715,4.28501,4.28501,4.28501,4.28501,4.28501,4.28501,4.28501,4.28501,4.31333,4.73348,5.2787,5.45586,5.9475,6.08471,6.29333,6.42751,6.65659,6.77031,6.77031,6.45811,6.00657,5.61983,5.24944,4.88117,4.63381,4.23433,3.74514,3.36784,3.187,2.59983,2.47031,2.1425,2.1425,1.92246,1.7997,1.7997,1.7997,1.7997,1.7997,2.052,2.23572,2.4853,2.62739,3.11558,3.32117,3.81715,4.02711,4.49526,5.08627,5.45196,5.99485,6.65717,7.3112,7.47016,8.28548,8.82111,9.03583,9.32208,8.99851,9.11853,8.99851,8.84471,8.50092,8.39861,8.09843,8.46091,8.14151,8.14151,7.98036,8.09191,7.38612,7.17518,6.71933,6.51321,7.22802,7.62213,7.28451,7.79583,7.47714,7.87085,7.63867,7,5.6941192783505175
2023,7.54161,8.20973,7.8597,7.34316,7.05933,6.57173,6.79534,6.42778,5.97521,5.34726,5.10136,4.78288,4.45641,4.45641,4.45641,4.2983,4.11361,4.11361,4.11361,4.11361,4.11361,4.42308,4.59557,4.82158,5.38795,6.0108,6.70234,7.41936,7.02532,7.28451,7.45444,7.71301,7.71301,7.82216,6.59783,6.46007,7.02741,7.07507,7.37021,7.09828,7.09814,7.3253,6.97682,6.13132,5.33005,5.91101,6.4652,6.94171,6.94171,6.37952,6.12122,6.03738,6.34181,6.34181,6.07319,5.82262,5.99901,5.94369,5.67151,6.11144,6.34181,6.60135,6.83359,7.02741,7.2263,7.69319,8.14052,8.14151,8.42381,9.14102,9.73118,10.21182,10.38275,10.19831,9.8602,9.75783,9.34131,9.06981,8.71979,8.57001,8.90098,8.47573,8.50801,8.00774,7.99823,7.50416,7.33883,6.85688,6.59891,7.25938,7.62731,7.46574,7.90135,7.68864,8.04332,7.7066,8,6.933118144329896
2023,7.37021,8.20346,7.83872,7.31238,6.98933,6.51342,6.66935,6.17126,5.66884,5.31029,5.05631,4.76782,4.65134,4.37071,4.24469,4.02791,4.02791,4.02791,4.02791,4.02791,4.26398,4.37071,4.60591,4.88717,5.59133,6.07124,6.72246,7.17342,6.94171,7.17986,7.40468,7.74304,7.75058,7.62731,7.38522,7.13948,6.49218,7.03813,6.80498,7.41387,7.60985,7.02322,6.9469,6.66451,6.29413,6.70358,6.36866,6.51321,6.94307,7.34058,7.23575,7.43895,7.25913,7.54161,7.20472,7.15232,6.85601,6.85601,6.58118,6.12082,5.90607,5.89274,6.44608,6.51989,6.94171,7.00355,7.4262,8.05637,8.39861,9.00979,9.49381,9.76981,9.76981,9.76981,9.48737,9.25095,8.87729,8.58592,8.39861,8.18392,8.40345,8.03713,8.13024,7.74787,7.7866,7.58691,7.28742,6.83711,6.65309,7.32041,7.60359,7.19881,7.53133,7.37821,7.86868,7.5536,9,6.944865051546395
