Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,index,Quality_Y
61250,2015,1,1,18.1,1.0,0,True
61250,2015,1,2,21.0,1.0,1,True
61250,2015,1,3,18.2,1.0,2,True
61250,2015,1,4,19.4,1.0,3,True
61250,2015,1,5,20.3,1.0,4,True
61250,2015,1,6,17.8,1.0,5,True
61250,2015,1,7,20.2,1.0,6,True
61250,2015,1,8,16.8,1.0,7,True
61250,2015,1,9,19.1,1.0,8,True
61250,2015,1,10,20.0,1.0,9,True
61250,2015,1,11,20.3,1.0,10,True
61250,2015,1,12,20.1,1.0,11,True
61250,2015,1,13,19.6,1.0,12,True
61250,2015,1,14,22.1,1.0,13,True
61250,2015,1,15,21.2,1.0,14,True
61250,2015,1,16,21.4,1.0,15,True
61250,2015,1,17,17.1,1.0,16,True
61250,2015,1,18,15.6,1.0,17,True
61250,2015,1,19,19.7,1.0,18,True
61250,2015,1,20,17.7,1.0,19,True
61250,2015,1,21,18.5,1.0,20,True
61250,2015,1,22,18.4,1.0,21,True
61250,2015,1,23,21.2,1.0,22,True
61250,2015,1,24,19.5,1.0,23,True
61250,2015,1,25,19.4,1.0,24,True
61250,2015,1,26,20.7,1.0,25,True
61250,2015,1,27,19.5,1.0,26,True
61250,2015,1,28,17.5,1.0,27,True
61250,2015,1,29,15.8,1.0,28,True
61250,2015,1,30,11.7,1.0,29,True
61250,2015,1,31,13.5,1.0,30,True
61250,2015,2,1,16.1,1.0,31,True
61250,2015,2,2,17.8,1.0,32,True
61250,2015,2,3,15.5,1.0,33,True
61250,2015,2,4,13.3,1.0,34,True
61250,2015,2,5,15.7,1.0,35,True
61250,2015,2,6,13.8,1.0,36,True
61250,2015,2,7,16.3,1.0,37,True
61250,2015,2,8,15.3,1.0,38,True
61250,2015,2,9,17.7,1.0,39,True
61250,2015,2,10,18.9,1.0,40,True
61250,2015,2,11,16.7,1.0,41,True
61250,2015,2,12,16.4,1.0,42,True
61250,2015,2,13,19.3,1.0,43,True
61250,2015,2,14,15.9,1.0,44,True
61250,2015,2,15,16.9,1.0,45,True
61250,2015,2,16,16.2,1.0,46,True
61250,2015,2,17,18.2,1.0,47,True
61250,2015,2,18,17.9,1.0,48,True
61250,2015,2,19,16.2,1.0,49,True
61250,2015,2,20,17.2,1.0,50,True
61250,2015,2,21,20.0,1.0,51,True
61250,2015,2,22,19.8,1.0,52,True
61250,2015,2,23,20.4,1.0,53,True
61250,2015,2,24,19.3,1.0,54,True
61250,2015,2,25,20.0,1.0,55,True
61250,2015,2,26,19.9,1.0,56,True
61250,2015,2,27,19.0,1.0,57,True
61250,2015,2,28,16.5,1.0,58,True
61250,2015,3,1,17.7,1.0,59,True
61250,2015,3,2,19.2,1.0,60,True
61250,2015,3,3,12.6,1.0,61,True
61250,2015,3,4,18.1,1.0,62,True
61250,2015,3,5,19.5,1.0,63,True
61250,2015,3,6,12.6,1.0,64,True
61250,2015,3,7,12.7,1.0,65,True
61250,2015,3,8,16.4,1.0,66,True
61250,2015,3,9,18.6,1.0,67,True
61250,2015,3,10,17.5,1.0,68,True
61250,2015,3,11,21.4,1.0,69,True
61250,2015,3,12,18.8,1.0,70,True
61250,2015,3,13,18.4,1.0,71,True
61250,2015,3,14,13.9,1.0,72,True
61250,2015,3,15,12.1,1.0,73,True
61250,2015,3,16,14.3,1.0,74,True
61250,2015,3,17,9.8,1.0,75,True
61250,2015,3,18,15.7,1.0,76,True
61250,2015,3,19,17.4,1.0,77,True
61250,2015,3,20,14.9,1.0,78,True
61250,2015,3,21,18.7,1.0,79,True
61250,2015,3,22,18.5,1.0,80,True
61250,2015,3,23,15.8,1.0,81,True
61250,2015,3,24,15.9,1.0,82,True
61250,2015,3,25,14.0,1.0,83,True
61250,2015,3,26,13.4,1.0,84,True
61250,2015,3,27,9.0,1.0,85,True
61250,2015,3,28,8.4,1.0,86,True
61250,2015,3,29,10.8,1.0,87,True
61250,2015,3,30,16.7,1.0,88,True
61250,2015,3,31,16.5,1.0,89,True
61250,2015,4,1,16.5,1.0,90,True
61250,2015,4,2,15.0,1.0,91,True
61250,2015,4,3,19.0,1.0,92,False
61250,2015,4,4,18.2,1.0,93,True
61250,2015,4,5,15.4,1.0,94,True
61250,2015,4,6,13.2,1.0,95,False
61250,2015,4,7,13.3,1.0,96,True
61250,2015,4,8,14.6,1.0,97,True
61250,2015,4,9,15.2,1.0,98,True
61250,2015,4,10,11.3,1.0,99,True
61250,2015,4,11,11.7,1.0,100,True
61250,2015,4,12,10.5,1.0,101,True
61250,2015,4,13,12.6,1.0,102,True
61250,2015,4,14,9.4,1.0,103,True
61250,2015,4,15,10.1,1.0,104,True
61250,2015,4,16,14.2,1.0,105,True
61250,2015,4,17,18.0,1.0,106,True
61250,2015,4,18,17.9,1.0,107,True
61250,2015,4,19,17.2,1.0,108,True
61250,2015,4,20,12.3,1.0,109,True
61250,2015,4,21,12.7,1.0,110,False
61250,2015,4,22,12.3,1.0,111,False
61250,2015,4,23,13.0,1.0,112,True
61250,2015,4,24,13.2,1.0,113,True
61250,2015,4,25,14.8,1.0,114,False
61250,2015,4,26,12.7,1.0,115,True
61250,2015,4,27,12.7,1.0,116,True
61250,2015,4,28,9.3,1.0,117,True
61250,2015,4,29,11.2,1.0,118,True
61250,2015,4,30,11.4,1.0,119,True
61250,2015,5,1,13.4,1.0,120,True
61250,2015,5,2,15.0,1.0,121,True
61250,2015,5,3,18.3,1.0,122,True
61250,2015,5,4,18.0,1.0,123,True
61250,2015,5,5,13.3,1.0,124,True
61250,2015,5,6,13.6,1.0,125,True
61250,2015,5,7,10.6,1.0,126,True
61250,2015,5,8,8.0,1.0,127,True
61250,2015,5,9,10.3,1.0,128,True
61250,2015,5,10,11.7,1.0,129,True
61250,2015,5,11,16.7,1.0,130,True
61250,2015,5,12,13.6,1.0,131,True
61250,2015,5,13,13.4,1.0,132,True
61250,2015,5,14,7.7,1.0,133,True
61250,2015,5,15,7.6,1.0,134,True
61250,2015,5,16,12.5,1.0,135,True
61250,2015,5,17,8.7,1.0,136,True
61250,2015,5,18,11.5,1.0,137,True
61250,2015,5,19,10.8,1.0,138,True
61250,2015,5,20,12.7,1.0,139,True
61250,2015,5,21,13.8,1.0,140,True
61250,2015,5,22,12.1,1.0,141,True
