year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2019,City North 132_11kV,01MAY2018,MW,29.75469,29.18846,28.98754,28.75008,28.65875,28.31171,28.25691,28.25691,28.25691,28.25691,28.25691,28.05599,28.03772,27.87333,27.87333,27.87333,27.90986,27.90986,27.90986,28.31171,29.22499,30.10174,31.19768,31.76391,34.64988,36.42164,38.22994,39.96517,44.33065,47.01570,49.33543,51.36292,53.51826,55.10737,56.51382,57.55496,58.10293,58.46824,58.81529,59.54591,59.78337,60.14868,61.00716,61.40901,61.79258,61.95698,61.93871,62.30402,62.54148,62.90679,63.29037,63.10771,63.14424,62.88852,63.39996,63.32690,63.32690,62.99812,62.96158,62.57801,62.17616,61.86565,62.45015,61.64646,61.00716,60.24001,59.81990,59.36326,59.10754,58.70570,57.28098,55.34482,49.49982,47.01570,45.29873,44.40372,42.48583,41.26203,40.93325,40.76886,40.34875,39.87384,39.10669,38.86923,38.12034,37.24359,36.73216,36.18419,35.87367,35.32570,34.30283,33.68180,32.27535,31.43513,30.97849,30.33919
2019,City North 132_11kV,02MAY2018,MW,29.71816,29.57204,29.26152,29.13366,29.04233,28.98754,28.60396,28.25691,28.27518,28.11079,28.05599,28.05599,28.05599,28.05599,27.83680,27.98293,27.87333,27.87333,28.20211,28.03772,29.11539,29.95561,30.90543,31.69085,34.66814,36.31205,38.24820,40.18436,44.58637,47.07050,49.75554,51.69170,54.26715,55.32656,56.49556,57.37231,57.93854,59.01621,59.36326,59.34499,59.98429,60.49573,61.00716,61.55513,61.97524,62.08483,62.23096,62.21269,63.39996,63.76527,64.09405,63.96619,64.20365,64.02099,64.14885,63.98446,63.76527,63.38169,63.43649,62.94332,62.19443,62.50494,62.24923,61.66473,61.55513,60.93410,60.80624,60.76971,60.29480,59.60071,58.63263,56.75127,50.50443,47.80112,46.32161,45.17087,43.28951,41.86480,41.46295,41.09764,40.58620,40.34875,39.65466,39.03363,38.21167,37.70023,37.59064,36.69563,36.14766,35.54489,34.88733,34.13844,33.42608,32.47627,31.94657,31.70911
2019,City North 132_11kV,03MAY2018,MW,30.92369,30.54011,30.13827,29.91908,29.77296,29.62683,29.73643,29.46244,29.27979,29.35285,29.20672,28.91447,28.96927,28.96927,29.22499,28.85968,28.85968,28.95100,28.93274,29.18846,30.30266,31.12461,32.03789,32.47627,34.43069,36.12939,38.26647,40.01997,44.23933,46.99743,49.88340,51.58210,53.93837,55.61881,56.93393,58.01160,59.47285,60.62359,60.40440,61.29941,62.23096,62.77893,63.50955,64.20365,65.08040,65.44571,65.95715,66.26766,66.39552,66.88869,66.98002,67.19921,67.34533,67.49146,68.00289,68.42300,68.56913,67.74718,67.29054,67.50972,67.29054,66.81563,66.26766,65.48224,64.78815,63.61915,63.18077,62.45015,62.52321,61.81085,60.13041,58.19426,51.25332,48.40389,47.10703,45.93803,44.31239,43.32605,42.94247,42.41276,41.09764,40.53141,39.78252,39.08842,37.99248,37.49931,37.31666,36.73216,36.34858,35.45356,34.55855,33.97405,33.18863,32.45800,31.80044,31.48992
2019,City North 132_11kV,04MAY2018,MW,30.92369,30.63144,30.15653,29.99214,29.79122,29.44418,29.09713,29.06060,28.95100,28.62222,28.65875,28.53089,28.53089,28.53089,28.53089,28.47610,28.56743,28.38477,28.64049,29.00580,29.73643,30.68624,31.89177,32.58586,35.45356,37.42625,39.32587,41.37162,46.54079,49.55462,52.29446,54.39501,56.55035,58.30385,59.76510,61.13502,61.46380,61.62819,62.30402,62.77893,64.03926,64.76988,64.86121,65.00733,65.71969,66.34072,66.30419,66.41379,66.46858,66.12154,66.54165,67.01655,67.30880,66.79736,66.59644,67.10788,66.90696,66.61471,66.43205,66.24940,65.57357,63.58262,63.01638,62.83372,62.24923,61.46380,60.76971,59.98429,59.25366,58.87009,57.55496,55.43615,48.73267,46.21201,44.80556,43.92881,42.02919,41.24376,40.60447,40.07477,39.59986,39.38067,38.77791,38.63178,38.17514,37.49931,37.06094,36.75042,36.47644,35.81888,35.36224,34.48549,33.95578,33.15210,33.15210,32.27535
2019,City North 132_11kV,05MAY2018,MW,31.56299,31.36207,30.99675,30.81410,30.37572,30.39399,30.24786,30.12000,30.12000,29.95561,29.68163,29.49897,29.13366,29.29805,29.29805,29.29805,29.20672,29.20672,29.20672,29.07886,28.34824,28.25691,28.36650,28.42130,29.60857,30.35746,30.50358,30.79583,31.59952,31.89177,32.93291,32.78678,33.49914,33.71833,34.24803,34.41242,34.72294,35.16131,35.39877,35.45356,35.50836,35.81888,36.01980,36.36684,36.40338,36.00153,35.81888,35.76408,35.81888,35.94674,36.11113,36.38511,36.56777,36.34858,36.31205,36.22072,35.94674,35.96500,36.27552,36.11113,36.14766,35.92847,35.63622,35.65449,35.85541,35.38050,35.47183,35.52663,35.58142,35.78235,35.89194,35.27091,35.06999,34.43069,34.22977,33.95578,33.66353,33.59047,33.57221,33.49914,32.93291,32.71372,32.71372,32.58586,32.27535,32.27535,32.27535,32.00136,31.72738,31.54472,31.34380,31.10635,30.94196,30.50358,30.26613,30.02868
2019,City North 132_11kV,06MAY2018,MW,29.51724,29.42591,29.13366,28.85968,28.85968,28.85968,28.58569,28.43957,28.14732,28.05599,28.05599,28.05599,27.59935,27.89160,27.72721,27.54455,27.54455,27.54455,27.54455,27.54455,27.65415,27.87333,27.70894,27.81854,29.02407,29.46244,29.88255,30.33919,30.59491,31.05155,31.74564,31.67258,31.89177,32.29361,32.64066,33.06077,33.26169,33.46261,33.80966,34.17497,34.13844,34.43069,34.72294,35.17958,35.21611,34.74120,35.27091,35.32570,35.59969,35.91020,35.80061,35.70928,35.67275,35.81888,35.91020,35.72755,35.49010,35.50836,35.59969,35.34397,35.12478,35.10652,35.45356,35.10652,34.75947,34.64988,34.59508,34.37589,34.46722,34.50375,34.85080,34.70467,34.19324,33.68180,33.27996,33.06077,33.13383,32.95117,32.56760,32.43974,31.94657,31.91003,32.09269,31.74564,31.65432,31.38033,31.36207,31.12461,30.57664,30.39399,29.88255,29.75469,29.24325,29.17019,29.17019,28.84141
2019,City North 132_11kV,07MAY2018,MW,28.53089,28.34824,27.98293,27.78200,27.52629,27.25230,27.59935,27.43496,27.17924,27.41669,27.27057,26.92352,27.17924,27.14271,26.96005,27.23404,26.83219,27.17924,27.69068,27.87333,29.18846,29.82775,30.68624,31.85524,34.43069,36.29378,38.75964,40.27569,44.27586,46.77825,48.89706,50.83321,53.48173,55.07084,56.65995,56.87913,58.55957,59.14407,60.09388,60.51399,61.39074,61.64646,62.15790,62.13963,61.95698,62.17616,62.19443,62.12137,63.07118,63.94793,64.11232,63.61915,64.56896,64.64202,64.80641,65.35438,65.50051,65.18999,64.98907,64.86121,64.47763,63.47302,62.99812,62.68760,62.68760,62.10310,61.68299,61.37248,60.42266,59.25366,58.01160,56.33116,49.49982,46.54079,45.73711,44.47678,42.75981,41.49948,40.82366,40.51314,39.23455,38.79617,38.04728,37.35319,36.84175,36.42164,35.72755,34.96039,34.66814,34.04711,33.20689,32.54933,31.69085,31.12461,30.86889,30.12000
2019,City North 132_11kV,08MAY2018,MW,29.64510,29.22499,29.11539,28.95100,28.58569,28.54916,28.54916,28.11079,28.42130,28.36650,28.36650,28.18385,27.94640,27.94640,27.94640,27.94640,27.92813,27.65415,27.90986,27.96466,29.24325,30.04694,30.97849,31.87350,34.52202,36.16592,38.24820,39.98344,44.31239,46.83304,49.02492,50.77842,53.13468,54.66899,55.81973,56.69648,57.51843,58.28559,58.30385,59.54591,59.67377,59.98429,60.05735,60.29480,60.87930,61.08023,61.15329,61.81085,62.34055,62.85199,63.56435,63.43649,63.85660,64.20365,64.42283,64.95254,65.17172,65.33611,65.90235,65.00733,64.38630,64.38630,63.89313,63.61915,62.99812,61.79258,61.46380,60.86104,59.83816,58.90662,58.01160,56.29463,49.71901,46.96090,45.91976,44.84209,42.94247,42.01092,41.40816,40.73233,39.70945,39.59986,39.27108,39.03363,38.54045,37.73677,37.13400,36.67736,36.29378,35.78235,34.77774,34.12017,33.38955,32.73199,32.18402,31.63605
2019,City North 132_11kV,09MAY2018,MW,30.96022,30.57664,30.01041,29.86428,29.49897,29.42591,29.49897,29.69989,29.44418,29.24325,28.96927,28.67702,28.84141,28.67702,28.67702,28.95100,28.73182,28.71355,28.73182,29.17019,30.26613,30.70450,32.12922,32.69546,35.52663,37.07920,39.28934,41.24376,45.60925,47.98378,50.65056,52.51365,55.08910,56.60515,58.08466,59.19887,60.18521,60.42266,61.22635,61.75605,63.52782,63.96619,64.31324,64.58722,65.20826,65.26305,65.86582,65.99368,66.50511,66.52338,66.99829,67.38186,67.89330,68.13075,68.24035,68.11249,67.80197,68.27688,68.77005,68.13075,68.05769,67.76544,67.12615,66.41379,65.88408,65.11693,64.80641,64.33151,62.88852,62.03004,60.87930,58.81529,52.23967,49.49982,47.54540,46.63212,44.45851,43.27125,42.63195,42.01092,41.09764,40.49487,39.38067,38.88750,37.91942,37.31666,36.84175,36.05633,35.89194,35.38050,34.54028,33.66353,32.87811,32.22055,31.56299,31.10635
2019,City North 132_11kV,10MAY2018,MW,30.43052,30.08347,29.95561,29.59030,29.24325,29.24325,28.80488,29.04233,28.71355,28.62222,28.45783,28.11079,28.38477,28.53089,28.43957,28.43957,28.32997,28.32997,28.32997,28.47610,29.84602,30.77757,31.72738,32.65892,35.17958,37.62717,39.50853,41.35336,45.64578,48.47695,51.27159,53.31734,55.85626,57.04352,58.44998,60.07562,60.89757,60.98890,60.66012,61.48207,62.35882,62.92505,63.47302,64.00272,64.34977,64.55069,64.86121,64.98907,65.57357,65.82929,66.15807,66.37725,66.92522,67.03482,67.14441,66.87043,66.68777,66.57818,66.41379,66.06674,65.17172,64.47763,64.14885,63.27210,62.83372,62.04830,61.44554,60.84277,59.71030,58.57784,56.89740,54.92471,49.71901,47.32622,46.08415,45.02475,43.63656,42.46756,41.60908,40.75059,39.81905,39.25281,38.48566,38.04728,37.17053,36.75042,36.22072,35.63622,35.17958,34.64988,34.04711,33.22516,32.58586,31.65432,31.30727,30.55838
