year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2019,North Sydney 132_11kV,01MAY2018,MW,20.24355,20.24355,20.02395,19.45096,19.45096,19.45096,18.76914,18.66703,18.66703,18.66703,18.66703,18.66703,18.66703,18.66703,18.66703,18.03118,17.90306,17.90306,17.93145,18.71110,19.29596,20.30060,21.06660,22.00003,24.26895,25.86177,28.58820,30.09239,34.26508,35.56549,37.68704,38.97539,40.10603,40.61947,41.36477,41.59158,41.59544,41.52203,41.14407,41.27231,41.45607,41.63056,41.01973,41.32062,41.52564,41.63129,41.73906,41.64283,41.97716,42.45360,42.43001,42.12712,42.43869,42.60084,42.40191,41.96533,41.79775,41.88644,41.77820,41.75491,42.08615,41.78078,41.41659,40.97625,40.55882,40.14082,40.15764,40.40975,39.98815,40.62199,39.86580,38.69899,35.15613,34.25835,33.44430,33.53696,32.29768,31.15904,31.07555,30.72935,30.31043,29.79081,29.38265,28.74228,28.03743,27.18753,27.04328,26.29082,25.47799,24.44605,23.89165,23.10758,22.33984,21.60536,21.39392,20.75249
2019,North Sydney 132_11kV,02MAY2018,MW,20.75249,20.63000,19.98288,19.98288,19.87422,19.21239,19.21239,19.21239,18.71374,18.40982,18.40982,18.40982,18.40982,18.40982,18.40982,18.26026,17.63790,17.63790,18.35565,18.39971,19.21657,20.15001,20.92624,22.06804,23.89863,25.51598,28.06391,29.63585,34.63108,36.97718,39.46922,40.42501,42.13100,42.67283,42.45083,42.78367,42.83604,42.93973,42.29934,42.32229,42.61539,43.21401,42.90169,42.87825,43.39260,43.58296,43.56889,43.64068,44.42788,44.24245,44.12220,43.28901,43.27179,42.93147,43.04035,42.92329,42.57705,41.91836,41.93540,42.04397,41.45312,41.79600,41.26345,41.24912,41.10131,40.61546,40.39373,41.04971,41.04734,40.86256,40.02583,38.78256,35.63371,34.04692,33.21213,33.61639,31.88729,31.59615,30.82990,30.82990,30.08283,29.54999,29.25382,28.99624,28.11065,27.67745,27.13595,26.41056,25.73054,24.61707,23.88445,23.08753,22.30060,21.49167,21.39884,20.93594
2019,North Sydney 132_11kV,03MAY2018,MW,20.62764,20.49334,19.83287,19.83287,19.83287,19.11900,19.05170,18.68064,18.28137,18.28137,18.28137,18.28137,18.28137,18.28137,18.28137,18.28137,18.28137,18.28137,18.28137,18.69977,19.64882,20.04659,20.77848,21.59071,24.06931,25.95426,27.88953,29.80788,33.26401,34.94379,36.75793,38.33059,40.25185,40.75280,41.31985,41.79274,42.30651,42.49305,42.39497,42.69502,42.69448,42.95475,42.94548,43.23345,43.52403,43.68334,43.22666,43.61009,43.71675,44.19966,44.03052,44.39922,44.83907,44.97809,44.24320,44.36483,44.44340,44.24276,44.31431,43.76235,43.13188,43.56664,42.93210,42.39699,41.92033,41.18462,41.29390,41.04358,41.42360,41.72710,40.47538,38.76196,35.31457,33.71004,32.79314,32.43966,31.40673,30.89782,30.63041,30.05545,29.85597,29.58108,28.77585,28.38897,27.69349,27.06199,26.90726,26.36164,25.53335,25.01095,23.87860,23.54012,22.59799,22.18278,22.15037,21.35348
2019,North Sydney 132_11kV,04MAY2018,MW,21.15414,20.36215,19.81352,19.81352,19.81352,19.06080,19.04259,19.04259,18.81577,18.28296,18.28296,18.28296,18.28296,18.28296,18.28296,18.28296,18.28296,18.28296,18.28296,18.72829,19.56224,20.24094,20.86441,21.74691,23.79000,25.82972,28.01880,29.83038,33.51533,35.55002,38.12608,39.39787,41.23033,41.57072,42.33909,42.76992,42.94612,43.04118,43.01563,42.98518,43.47157,44.08175,44.14893,44.27456,44.40454,44.25414,44.35658,44.98980,45.28820,45.24730,44.87774,44.89472,44.92613,44.80998,44.89040,44.85826,44.44159,43.88542,43.57192,43.59280,42.85368,42.56680,41.88040,41.35076,40.94581,40.41209,40.47777,40.07502,40.01286,40.01286,39.19999,37.70293,34.09544,32.15842,31.35278,30.85533,30.06067,28.97921,28.29739,27.70029,28.22731,27.65809,27.65809,26.89544,26.85649,26.10253,25.79885,25.20445,24.57499,23.81108,23.49410,22.85977,22.22395,21.49225,21.44119,20.91015
2019,North Sydney 132_11kV,05MAY2018,MW,20.61896,20.61896,20.19335,19.83274,19.83274,19.41426,19.06239,19.06239,18.73271,18.25101,18.25101,18.25101,18.25101,18.25101,18.25101,18.25101,18.25101,18.25101,18.25101,18.25101,18.25101,18.25101,18.25101,18.27965,19.50302,19.80556,20.16867,20.65205,21.18865,22.25804,22.32649,23.47997,24.21651,24.63467,25.11671,25.43016,26.09326,26.23489,26.83777,26.68298,26.87145,26.82649,26.42196,26.29196,26.71126,26.91240,26.31379,26.31379,26.31379,26.31379,26.31379,26.31379,26.31379,26.31379,26.03982,26.10309,26.29991,25.98068,25.44114,26.14471,25.49975,25.43290,25.43290,25.43290,25.43290,25.43290,25.43290,25.91024,26.29978,26.69546,27.18051,27.58233,27.98668,27.98668,27.98668,27.36822,27.21375,26.98888,26.44052,26.39386,25.65992,25.65992,24.95687,24.88423,24.88423,24.88423,24.29041,24.11317,24.06774,22.99117,22.52857,22.52857,22.06918,21.76054,21.25178,20.99945
2019,North Sydney 132_11kV,06MAY2018,MW,20.99945,20.75386,20.23793,20.18816,19.47971,19.47971,19.47971,19.05687,18.71241,18.71241,18.39313,17.91649,17.91649,17.91649,17.91649,17.91649,17.91649,17.91649,17.91649,17.91649,17.91649,17.91649,17.91649,18.03055,18.69203,18.69203,18.97031,19.45342,20.04845,20.62098,21.23871,21.82369,22.31043,22.66872,23.38482,23.43821,24.15162,24.56363,25.10893,25.10893,25.10893,25.10893,25.10893,25.10893,25.10893,25.10893,25.10893,24.73211,24.33917,24.33917,24.70060,25.12020,25.07261,24.36084,24.36084,24.36084,24.36084,24.36084,24.36084,24.36084,24.36084,24.36084,24.36084,24.36084,24.36084,24.36084,24.42042,25.30588,25.92811,26.76889,27.89023,28.43522,28.43522,28.43522,28.43522,28.43522,27.93650,27.66286,27.06804,26.86188,26.86188,26.20165,26.07420,26.07420,25.44454,25.28551,24.56861,24.29969,23.60401,22.96525,22.21996,21.83787,21.26827,20.56015,20.56015,20.36036
2019,North Sydney 132_11kV,07MAY2018,MW,19.74618,19.74618,19.71745,18.98191,18.98191,18.98191,18.98191,18.28943,18.18817,18.18817,18.18817,18.18817,18.18817,18.18817,18.18817,18.18817,18.18817,18.18817,18.18817,18.18817,19.47415,20.24411,21.38653,22.90330,25.45905,26.92915,29.28826,31.52279,34.57701,35.93733,38.16942,39.27491,40.69350,41.27338,41.76015,41.88924,42.48990,42.51664,42.91027,43.05664,43.39000,43.18382,42.64834,42.83227,43.03369,42.88879,43.07435,43.34383,43.32382,43.61864,43.49318,43.94877,43.70172,43.80228,43.48317,43.00846,43.58292,43.12729,42.86976,43.15997,42.87259,42.42487,42.32512,41.80625,41.57537,41.01363,40.95818,41.31871,41.45379,41.14380,40.78967,39.38288,36.21306,34.46692,34.35879,34.32735,33.11110,32.45138,31.31065,31.06730,30.61475,30.12684,29.29823,28.76222,28.30953,27.64723,26.93407,26.21894,25.20812,24.44413,23.86110,22.85077,22.32636,21.70374,21.46462,20.86621
2019,North Sydney 132_11kV,08MAY2018,MW,20.86621,20.42385,20.07536,19.29012,19.29012,19.29012,19.29012,18.55357,18.47125,18.47125,18.47125,18.47125,17.97334,17.71188,17.71188,17.71188,17.71188,17.71188,18.17066,18.48164,19.59960,20.42494,20.95220,22.06383,24.16836,25.95949,28.15369,30.19908,33.86627,35.35469,37.36745,38.31683,39.58397,40.05720,40.68513,40.57742,40.69474,40.34167,40.24465,40.75858,40.89796,40.83819,40.97012,41.33929,41.41307,41.57473,42.12443,42.13904,42.48688,43.00042,42.82112,43.03781,43.00662,43.52516,43.10552,43.13953,43.18572,43.06463,42.89774,42.56072,42.57762,42.38824,42.14746,41.82280,41.23780,41.11447,40.85381,41.00355,41.29648,41.25557,40.48723,39.49930,35.59244,34.27471,33.68064,33.47140,32.72740,31.81637,31.47424,31.19337,30.39045,29.91102,29.18249,28.74518,28.38653,27.74273,27.29630,26.54352,25.63212,24.94725,24.27670,23.31685,22.46526,22.22251,21.62246,21.11655
2019,North Sydney 132_11kV,09MAY2018,MW,20.66506,20.66506,20.14618,19.90195,19.90195,19.90195,19.28374,19.09953,19.09953,18.47133,18.31777,18.31777,18.31777,18.31777,18.31777,18.31777,18.31777,18.31777,18.31777,18.78670,19.66583,20.63874,21.13358,21.87042,24.16982,25.93025,27.94488,29.91138,33.83660,34.75200,37.02596,38.26206,39.60163,40.09503,40.46487,40.62135,40.54719,40.55201,40.53623,41.30067,41.53876,42.24334,41.87631,42.28344,42.42609,42.60214,42.65814,42.87256,43.04438,43.20725,43.42206,43.93486,43.68137,43.70657,44.12059,43.79734,43.72467,43.47810,43.35620,42.93019,42.90648,42.75785,42.50633,41.99842,41.36437,41.14239,40.72567,40.64419,41.21120,41.27258,40.01517,39.13467,35.76434,33.96607,33.52780,32.99741,32.03707,32.03707,31.45034,30.41172,30.41172,29.84056,29.61497,28.86772,28.53268,28.09059,27.32934,26.59106,25.75402,25.06173,24.16865,23.39453,22.84425,22.35170,21.76454,20.97112
2019,North Sydney 132_11kV,10MAY2018,MW,20.97112,20.56615,20.17825,19.52452,19.39721,19.39721,19.39721,19.03063,18.55909,18.55909,18.55909,18.55909,18.55909,18.55909,18.55909,18.11099,17.79482,17.79482,18.14283,18.60419,19.31992,20.01674,20.76428,21.41253,23.91887,25.71378,27.55803,29.49318,33.17271,34.79852,37.20119,38.34603,39.88636,40.42427,40.98665,41.08050,41.15314,41.07813,41.54541,41.48480,41.66130,42.04118,42.38787,42.58791,42.91418,42.65420,42.57375,42.63050,43.01793,43.62922,43.57739,43.69802,44.08319,43.84178,43.99998,43.65054,43.84764,43.38019,43.08742,42.94067,42.31096,42.21962,41.88633,41.89840,40.97948,40.42068,40.48760,40.69230,40.75906,40.51287,39.69717,38.45797,35.17893,33.93497,33.08086,32.62023,31.75092,31.61156,30.83785,30.39026,30.76514,30.59441,30.01824,29.34138,28.62292,28.43291,28.14062,27.56734,26.50613,25.58746,24.67282,23.77092,23.27584,22.25932,22.09866,21.49293
