Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m),index
66022,2015,1,1,30.6,0
66022,2015,1,2,18.6,1
66022,2015,1,3,31.5,2
66022,2015,1,4,25.8,3
66022,2015,1,5,15.5,4
66022,2015,1,6,28.7,5
66022,2015,1,7,31.2,6
66022,2015,1,8,31.9,7
66022,2015,1,9,26.3,8
66022,2015,1,10,14.8,9
66022,2015,1,11,3.0,10
66022,2015,1,12,9.7,11
66022,2015,1,13,22.2,12
66022,2015,1,14,30.6,13
66022,2015,1,15,30.4,14
66022,2015,1,16,27.2,15
66022,2015,1,17,32.0,16
66022,2015,1,18,30.1,17
66022,2015,1,19,4.8,18
66022,2015,1,20,20.1,19
66022,2015,1,21,29.2,20
66022,2015,1,22,29.2,21
66022,2015,1,23,28.7,22
66022,2015,1,24,27.9,23
66022,2015,1,25,27.2,24
66022,2015,1,26,3.3,25
66022,2015,1,27,3.0,26
66022,2015,1,28,4.8,27
66022,2015,1,29,28.8,28
66022,2015,1,30,29.0,29
66022,2015,1,31,28.8,30
66022,2015,2,1,17.5,31
66022,2015,2,2,25.1,32
66022,2015,2,3,22.1,33
66022,2015,2,4,16.7,34
66022,2015,2,5,10.2,35
66022,2015,2,6,16.5,36
66022,2015,2,7,19.8,37
66022,2015,2,8,28.1,38
66022,2015,2,9,7.6,39
66022,2015,2,10,22.4,40
66022,2015,2,11,25.8,41
66022,2015,2,12,25.9,42
66022,2015,2,13,16.4,43
66022,2015,2,14,18.5,44
66022,2015,2,15,23.7,45
66022,2015,2,16,25.5,46
66022,2015,2,17,26.5,47
66022,2015,2,18,26.3,48
66022,2015,2,19,19.0,49
66022,2015,2,20,12.4,50
66022,2015,2,21,11.9,51
66022,2015,2,22,20.0,52
66022,2015,2,23,18.8,53
66022,2015,2,24,14.3,54
66022,2015,2,25,9.2,55
66022,2015,2,26,14.9,56
66022,2015,2,27,20.2,57
66022,2015,2,28,20.4,58
66022,2015,3,1,18.1,59
66022,2015,3,2,12.0,60
66022,2015,3,3,20.1,61
66022,2015,3,4,17.6,62
66022,2015,3,5,20.7,63
66022,2015,3,6,24.0,64
66022,2015,3,7,14.9,65
66022,2015,3,8,17.4,66
66022,2015,3,9,23.7,67
66022,2015,3,10,8.9,68
66022,2015,3,11,16.9,69
66022,2015,3,12,19.0,70
66022,2015,3,13,3.0,71
66022,2015,3,14,19.7,72
66022,2015,3,15,11.2,73
66022,2015,3,16,12.3,74
66022,2015,3,17,11.9,75
66022,2015,3,18,14.5,76
66022,2015,3,19,21.4,77
66022,2015,3,20,16.8,78
66022,2015,3,21,4.7,79
66022,2015,3,22,8.0,80
66022,2015,3,23,17.9,81
66022,2015,3,24,5.1,82
66022,2015,3,25,15.3,83
66022,2015,3,26,20.2,84
66022,2015,3,27,21.2,85
66022,2015,3,28,18.4,86
66022,2015,3,29,15.3,87
66022,2015,3,30,9.7,88
66022,2015,3,31,11.8,89
66022,2015,4,1,14.7,90
66022,2015,4,2,14.2,91
66022,2015,4,3,3.6,92
66022,2015,4,4,2.9,93
66022,2015,4,5,16.9,94
66022,2015,4,6,13.5,95
66022,2015,4,7,16.1,96
66022,2015,4,8,11.7,97
66022,2015,4,9,12.8,98
66022,2015,4,10,12.2,99
66022,2015,4,11,12.2,100
66022,2015,4,12,12.6,101
66022,2015,4,13,13.5,102
66022,2015,4,14,15.9,103
66022,2015,4,15,15.7,104
66022,2015,4,16,15.4,105
66022,2015,4,17,4.0,106
66022,2015,4,18,13.0,107
66022,2015,4,19,11.1,108
66022,2015,4,20,2.7,109
66022,2015,4,21,2.4,110
66022,2015,4,22,2.7,111
66022,2015,4,23,12.0,112
66022,2015,4,24,13.8,113
66022,2015,4,25,14.3,114
66022,2015,4,26,4.1,115
66022,2015,4,27,15.2,116
66022,2015,4,28,14.8,117
66022,2015,4,29,5.6,118
66022,2015,4,30,6.5,119
66022,2015,5,1,7.5,120
66022,2015,5,2,8.0,121
66022,2015,5,3,4.1,122
66022,2015,5,4,6.2,123
66022,2015,5,5,13.6,124
66022,2015,5,6,14.0,125
66022,2015,5,7,13.9,126
66022,2015,5,8,13.7,127
66022,2015,5,9,13.4,128
66022,2015,5,10,10.4,129
66022,2015,5,11,12.9,130
66022,2015,5,12,13.2,131
66022,2015,5,13,11.2,132
66022,2015,5,14,12.9,133
66022,2015,5,15,10.8,134
66022,2015,5,16,10.9,135
66022,2015,5,17,8.3,136
66022,2015,5,18,7.0,137
66022,2015,5,19,5.9,138
66022,2015,5,20,10.6,139
66022,2015,5,21,10.3,140
66022,2015,5,22,4.4,141
66022,2015,5,23,11.2,142
66022,2015,5,24,11.5,143
66022,2015,5,25,10.0,144
66022,2015,5,26,10.4,145
66022,2015,5,27,11.0,146
66022,2015,5,28,10.9,147
66022,2015,5,29,4.1,148
66022,2015,5,30,6.5,149
66022,2015,5,31,4.7,150
66022,2015,6,1,11.2,151
66022,2015,6,2,11.1,152
66022,2015,6,3,11.0,153
66022,2015,6,4,11.1,154
66022,2015,6,5,9.6,155
66022,2015,6,6,9.6,156
66022,2015,6,7,10.9,157
66022,2015,6,8,11.0,158
